pid,label,creator,location,_date,catalog record permalink,maneuver (object_type),description
ibx1_holinshed,"The Firste[-laste] volume of the Chronicles of England, Scotland, and Irelande","Holinshed, Raphael",Geneuae,1577,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph003271029,Fill,"This copy of the first edition of Holinshed’s Chronicles bears the marks of its owner in the margins and on blank pages. A collaboratively written history of Britain, the Chronicles was used to inform English literary works of the Renaissance, including those of Marlowe, Spenser, and most famously Shakespeare. The marginalia (marks made by the reader in the margins and other blank spaces of the text) throughout this copy includes whimsical drawings of men in contemporary Renaissance dress (ruffs and hats with large plumes) and writing in secretary hand reflecting on the text. PARAGRAPH The owner made use of pages left entirely blank by filling it with doodles and the products of his attempt to practice his penmanship and lines in letters, including his sign-off. Presumably the owner’s name was “John Hatfeeld,” for two copies of the lines “At your honor’s commandement your obedient servant John Hatfeeld” appear. In these instances the owner is not producing the form of marginalia that scholar William Sherman describes in Used Books as “a glossarial note or commentary against a word or passage.” Instead he is filling up pages as he might fill up the spaces of his mind with thoughts and images as they occur to him. The owner made his mark on the book as much by commenting on the text and copying its characters as by filling its blank spaces into a repository for the free flowing materials of his mind."
ibx2_beze,"Icones, id est verae imagines virorum doctrina simul et pietate illustrium [...] quibus adiectae sunt nonnullae picturae quas Emblemata vocant.","Bèze, Théodore de",Geneuae,1580,https://library.nyu.edu/persistent/lcn/nyu_aleph000922502?institution=NYU&persistent,Fill,"Théodore de Bèze (1519-1605 ) was a prominent French Calvinist theologian. His Icones consists of two parts: the first is a gallery of notable religious figures who contributed to the Reformation, including Luther, Calvin and Erasmus. Presented in woodcut portraits and brief biographies, the gallery invites interaction by leaving frames blank for figures whose portraits are not available at the time, but will emerge after the book’s publication. Interestingly the backs of the engravings pasted in by the reader reveal that they were cut out of other books published close to the same time period. Additional scraps of paper are attached to the engravings or blank mirrors and bear sketches made by a book owner copying the portraits. PARAGRAPH The second portion of the book presents the 44 emblems that make Icones a notable example of the early modern emblem book genre. Emblem books set words and images into interplay with each other by presenting a mysterious visual icon or image with an accompanying epigram or motto. While the first section of the book, with its visual parade of illustrious religious leaders, appears unrelated to the emblems, the first few, which present images of frames with landscapes that surround empty spaces in which a circle floats, suggest what the connection might be. PARAGRAPH The epigram beneath the first emblem presents its circle as an image both of eternal life and God’s perfection, suggesting that by focusing on the image in front of them, and following the subsequent emblems to the end, the reader might enact the circular path of eternity. Through applying the idea of God’s eternity to one’s own life, one might situate themselves inside the empty space of the circle that is in turn surrounded by a frame. In this way the emblem book portion of Icones offers interactive possibilities as its portraits do, which similarly invite the reader’s “input” by leaving some of its spaces intentionally blank."
ibx3_camden,"Britannia sive Florentissimorvm regnorvm Angliae, Scotiae, Hinberniae, et insularum adiacentium ex intima antiquitate chorographica descriptio","Camden, William",Londini,1607,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph003271029,Fill,"William Camden’s Britannia was first published in 1586. The 6th edition, published in 1607, was the first folio sized edition, as well as the first to include maps for this foundational antiquarian work. Camden (1551-1623) was pivotal in developing antiquarianism, a novel method of studying Britain’s ancient past that placed an emphasis on the direct study of its artifacts—coins, ruins, heraldry, inscriptions—as found in its different regions. Every graphic feature in this copy of the book was filled by hand with color, from printer’s ornaments and drop cap initials to maps and illustrations of antique coins and inscriptions. While it is difficult to determine whether the coloring was done professionally in the print shop or by an extremely skilled and diligent reader, the addition of color brings different interactive elements to the book. Filling in the book with a new element after its printing is one, and bringing the past to life with the enlivening properties of color is another."
ibx4_stow,"A Survey of the cities of London and Westminster, 6th edition","Stow, John and John Strype",London,1754,https://library.nyu.edu/persistent/lcn/nyu_aleph003081356?institution=NYU&persistent,Fill,"This copy of John Stow’s Survey of London, as many extra-illustrated books do, includes several foldout prints. Stow (1525-1605), like William Camden (author of Britannia HYPERLINK ""BRITANNIA""), was a 16th-century antiquarian whose Survey accomplished a similar goal of providing a historical account of a topographical region or area. In Stow’s case, the target area was London. Essentially a travel guide, his Survey was compiled from archival material related to London’s architectural monuments and social activities. It was updated several times. The exhibition features the eighteenth-century edition of John Strype (1643-1737), which came endowed with contemporary maps and plates and was produced in lavish folio format. PARAGRAPH By extra-illustrating this copy of the book, or making it more visually bountiful by adding new plates, the owner was participating in a pastime that was popular for readers from the 1770s to the early 20th century. In doing so, the owner added new meaning to the book. Not a passive reader of Stow’s and Strype’s guided tours of London’s streets, the owner created their own journey through London with the materials of their personal print collection, creating more stopping points with new prints to unfold along the way."
ibx5_radcliffe,A Sicilian Romance,"Radcliffe, Ann",London,1790,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph000758721,Fill,"This copy of Ann Radcliffe’s novel A Sicilian Romance (1790) is unusual for being extra-illustrated, as the copy of Stow’s Survey HYPERLINK “SURVEY” in this exhibition is. Most commonly, extra-illustrated (supplemented with print illustrations from other sources) books are in large formats, and are devoted not to fiction, but to historical biography, antiquarian history and travel, or works by Shakespeare. Traditionally appearing in pocket sized, duodecimo format, eighteenth-century novels in contrast lacked the space for “holding” additional engraved prints, whose original sizes far exceed the dimensions of a standard novel. Yet the owner of this copy of Radcliffe’s novel inventively used miniature engravings--possibly cut out from another source--to fill in the bits of blank spaces at the end and beginning of chapters. PARAGRAPH The small pictures pasted into the novel by its owner depict picturesque landscape scenes that stir the imagination and correspond with scenes described in the narrative, such as ruined castles by the sea covered in overgrown ivy, and views of Italian volcanoes. Human figures from the Gothic era, from knights in armor riding horseback to a nun in a white habit frightened by an invisible visitor to her prayer chamber, might be identified as characters in the novel. Unlike inserted foldouts typically used for extra-illustration, these small prints fit well within the boundaries of the book’s original pages as well as the novel’s storyline. They draw the reader further into the Gothic world imagined by Radcliffe and offer a chance to see it realized in images, while at the same time turning the owner’s copy of the book into an individualized one."
ibx6_wollstonecraft,A Vindication of the Rights of Woman,"Wollstonecraft, Mary",Boston,1792,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph001366096,Fill,"This American edition of Mary Wollstonecraft’s early feminist manifesto was owned and read by a responsive reader whose interactions with the text surface in thoughtful underlinings and summaries of affecting passages and one word responses such as “fools” and “alas.” These markings indicate the reader’s sensitivity to injustice and outrage over the hypocrisies and double standards in eighteenth-century social attitudes towards women exposed by Wollstonecraft. The most emphatic and “hands-on” signs of the reader’s engagement with Wollsteoncraft’s arguments are the manicules used to wreathe lines that were found particularly significant. The book provides tangible evidence of the powerful responses Wollstonecraft’s revolutionary treatise stirred in contemporary readers. In its margins, the reader found a space for expressing their own views through digesting and reflecting on Wollstonecraft’s."
ibx7_robins_postcard,Elizabeth Robins Papers,"Robins, Elizabeth",Alaska,1900,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph006049994,Fill,"This card sent by American-born writer, actress and suffragist Elizabeth Robins (1862-1952), a resident of England, from Alaska in 1900 to Florence Bell in Yorkshire, England exemplifies an early form of postcard known as a notecard. Rather than a picture, the front side of the card is reserved for the address of the recipient, and the verso offers space for a message. Meant to be filled in by the sender and read by a distant party, the proto-postcard format provides a fixed structure for concisely formulated personal expressions of the sender’s own choosing. In Alaska looking for her missing brother in the gold rush camps, Robins used the modern medium of the postcard to convey to her friend the most immediate and everyday details from an extraordinary episode in her remarkable life."
ibx8_maiore,"Sententiae veterum poetarum: a Georgio Maoire, primum collect[a]e, & per locos communes digestae, nu[n]c vero dilige[n]ter reocgnitae, & ex ipsis auctoribus, vt hodie editi sunt, castigatae.","Major, Georg",Antverpiae,1574,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph000981043,Gather,"Georg Major (1520-1589) was a Lutheran theologian who played a prominent role in the Protestant Reformation. His book is a commonplace book in the most traditional, Renaissance humanist sense: a collection of excerpts from the works of classical authors organized under headings. These include abstract topics from “arrogance,” “beauty,” “war,” “good men exemplified,” and “God” to “innocence,” “fear” and “hope.” An index helps the reader locate the corresponding pages for topics. The small size of the sextodecimo format book (16mo or 4 x 6.8 inches) facilitates the book’s intended use as a portable aid to help its owner memorize passages related to given topics and have them ready to recite when the occasion calls for them. Throughout the early modern period, commonplace books were often created by hand out of blank notebooks, and filled and organized according to the owners’ reading practices. Such commonplace books were our first personal information management systems before the age of social media, smart phones and laptop computers."
ibx9_bible,"The Holy Bible : conteyning the Old Testament, and the New...appointed to be read in churches.","Smith, Miles (Bishop of Gloucestor)",London,1611,https://bobcat.library.nyu.edu/permalink/f/1c17uag/nyu_aleph000595219,Gather,"This copy of the first edition of the culturally all-important King James Bible was used by a family for several generations. The book’s physical elements, apart from its massive size, befit its historical significance. Elaborate paratextual (aspects of the book adjacent to the main text) features include monthly calendars for marking holy days with rubricated (red) letters, and genealogical tree charts of Biblical figures and their families. PARAGRAPH More than a century after its publication, the book’s succession of owners, four generations of the Davies family in Gloucestershire, England, began using its parts as a repository for pivotal events in family members’ lives. On the front pastedown and end paper are the dates of family members’ births, baptisms, weddings and deaths written in different hands. 1742 is the earliest date recorded, the year when Reverend William Davies was born. Additional lines are devoted to significant events in his life, as well as those in his sons’ and their childrens’, with different sections reserved for different family lines. PARAGRAPH Storylines ensue with implied or explicit emotional richness in the very act of writing down the dates, names and descriptions of pivotal events. On August 20, 1816, for instance, the younger William Davies wrote, “This morning at half past 2 o’Clock my ever dear beloved wife...departed this life to my great and inexpressible grief (aged twenty eight years).” With these entries the Davies family in effect had interwoven their lives and times into the Bible’s fabric, an indicator of how influential and pervasive the King James Bible was as a dominant text in the lives of the English, gathered together by their faith as well as family connections."
ibx10_smith_martha,[Martha Smith Her Book],"Smith, Martha",England,ca. 1655-1697,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph003620145,Gather,"Martha Smith’s book exemplifies one of the most prevalent forms of manuscript collection in the early modern period (ca. 1550-1800): the recipe book. Predecessors to this type of manuscript book include medieval medical recipe books known as “receptaria” used in monasteries as well as miscellanies and commonplace books, of which the recipe book is a type. Recorded in a neat and meticulous hand, the recipes are for both medicine and food. Smith organized her notebook in a deliberate fashion, devoting the first half to medicinal recipes and the second half to food recipes. “A drinke for the cough of the lungs” begins the medicinal recipe section and “To make sugar cakes” begins the food recipe section. A blank page and a half separates the two halves, suggesting she filled each half simultaneously as she encountered each type of recipe. PARAGRAPH The words “Martha Smith her booke,” with Smith’s name in extra large letters, appear on the first page of the notebook. This indubitable mark of ownership is a common sight in notebooks of the period. Books of this nature serve as repositories for the self and are a form of life writing. They are sites in which information useful for domestic life encountered and chosen by the notebook creator are kept, ready to be consulted when needed by her. Scraps of paper with additional medicinal recipes scribbled on them and tucked at the back of the notebook written in a different hand. A second name, Emily E. Bleecky, inscribed beneath Smith’s on the title page, shows a member of a later generation used Smith’s collection of recipes and incorporated them into her life as well."
